Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-04 14:00,Exit,4602,21,97440,-798,-0.82,208.95,0.21,-966,-0.99,-798,-0.80,5
1,Entry long,2023-07-04 12:45,Long,4640,21,97440,-798,-0.82,208.95,0.21,-966,-0.99,-798,-0.80,5
2,Exit long,2023-07-12 12:00,Exit,4681.1,21,98361.9,-58.8,-0.06,924,0.94,-58.8,-0.06,-856.8,-0.86,5
2,Entry long,2023-07-12 10:45,Long,4683.9,21,98361.9,-58.8,-0.06,924,0.94,-58.8,-0.06,-856.8,-0.86,5
3,Exit long,2023-08-31 13:45,Exit,4846.45,20,98002,-1073,-1.09,337,0.34,-1073,-1.09,-1929.8,-1.93,6
3,Entry long,2023-08-31 12:15,Long,4900.1,20,98002,-1073,-1.09,337,0.34,-1073,-1.09,-1929.8,-1.93,6
4,Exit long,2023-09-05 14:15,Exit,5282.25,19,93822,6540.75,6.97,9728,10.37,0,0.00,4610.95,4.61,11
4,Entry long,2023-09-05 11:30,Long,4938,19,93822,6540.75,6.97,9728,10.37,0,0.00,4610.95,4.61,11
5,Exit long,2023-10-03 12:30,Exit,5430.5,19,104129.5,-950,-0.91,1282.5,1.23,-950,-0.91,3660.95,3.66,11
5,Entry long,2023-10-03 09:45,Long,5480.5,19,104129.5,-950,-0.91,1282.5,1.23,-950,-0.91,3660.95,3.66,11
6,Exit long,2023-11-15 15:15,Exit,5550,18,100080,-180,-0.18,1169.1,1.17,-180,-0.18,3480.95,3.48,23
6,Entry long,2023-11-15 09:30,Long,5560,18,100080,-180,-0.18,1169.1,1.17,-180,-0.18,3480.95,3.48,23
7,Exit long,2024-01-11 11:30,Exit,5920.2,17,98547.3,2096.1,2.13,3196.85,3.24,-287.3,-0.29,5577.05,5.58,45
7,Entry long,2024-01-09 13:45,Long,5796.9,17,98547.3,2096.1,2.13,3196.85,3.24,-287.3,-0.29,5577.05,5.58,45
8,Exit long,2024-02-02 09:30,Exit,5782.5,17,104635,-6332.5,-6.05,94.35,0.09,-6332.5,-6.05,-755.45,-0.76,54
8,Entry long,2024-01-31 09:30,Long,6155,17,104635,-6332.5,-6.05,94.35,0.09,-6332.5,-6.05,-755.45,-0.76,54
9,Exit long,2024-02-21 12:15,Exit,6100.05,16,98880,-1279.2,-1.29,340,0.34,-1279.2,-1.29,-2034.65,-2.03,5
9,Entry long,2024-02-21 11:00,Long,6180,16,98880,-1279.2,-1.29,340,0.34,-1279.2,-1.29,-2034.65,-2.03,5
10,Exit long,2024-06-18 14:30,Exit,6118.9,15,93018,-1234.5,-1.33,953.25,1.02,-1234.5,-1.33,-3269.15,-3.27,20
10,Entry long,2024-06-18 09:30,Long,6201.2,15,93018,-1234.5,-1.33,953.25,1.02,-1234.5,-1.33,-3269.15,-3.27,20
11,Exit long,2024-06-21 13:30,Exit,6501.1,14,92041.6,-1026.2,-1.11,1338.4,1.45,-2945.6,-3.20,-4295.35,-4.30,16
11,Entry long,2024-06-21 09:30,Long,6574.4,14,92041.6,-1026.2,-1.11,1338.4,1.45,-2945.6,-3.20,-4295.35,-4.30,16
12,Exit long,2024-06-27 15:15,Exit,6614,14,95539.5,-2943.5,-3.08,10.5,0.01,-3139.5,-3.29,-7238.85,-7.24,22
12,Entry long,2024-06-27 09:45,Long,6824.25,14,95539.5,-2943.5,-3.08,10.5,0.01,-3139.5,-3.29,-7238.85,-7.24,22
13,Exit long,2024-07-01 11:30,Exit,6823,13,88849.8,-150.8,-0.17,1849.9,2.08,-709.8,-0.80,-7389.65,-7.39,8
13,Entry long,2024-07-01 09:30,Long,6834.6,13,88849.8,-150.8,-0.17,1849.9,2.08,-709.8,-0.80,-7389.65,-7.39,8
14,Exit long,2024-07-29 12:15,Exit,6902.05,13,90910.3,-1183.65,-1.30,391.3,0.43,-1183.65,-1.30,-8573.3,-8.57,8
14,Entry long,2024-07-29 10:15,Long,6993.1,13,90910.3,-1183.65,-1.30,391.3,0.43,-1183.65,-1.30,-8573.3,-8.57,8
15,Exit long,2024-07-31 14:00,Exit,7043.05,12,85212,-695.4,-0.82,32.4,0.04,-732,-0.86,-9268.7,-9.27,6
15,Entry long,2024-07-31 12:30,Long,7101,12,85212,-695.4,-0.82,32.4,0.04,-732,-0.86,-9268.7,-9.27,6
16,Exit long,2024-08-08 14:15,Exit,6995,12,85680,-1740,-2.03,682.2,0.80,-1740,-2.03,-11008.7,-11.01,16
16,Entry long,2024-08-08 10:15,Long,7140,12,85680,-1740,-2.03,682.2,0.80,-1740,-2.03,-11008.7,-11.01,16